,partyKey,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
0,8,1,1,4,4,4,2,5,1,1,1,4,4,4,4,4
1,8,1,3,4,2,5,4,2,3,3,2,1,1,3,2,2
2,8,1,2,1,3,5,3,3,1,1,3,4,3,2,5,2
3,8,1,4,1,2,5,5,3,3,1,2,4,2,3,4,4
4,8,1,2,3,1,2,4,3,1,4,2,2,4,4,5,4
5,8,3,5,1,3,1,1,5,3,3,3,4,5,3,5,4
6,8,1,3,2,3,5,5,4,3,3,3,4,5,4,4,5
7,6,1,4,2,4,5,5,5,5,2,2,2,5,2,5,4
8,2,3,3,5,5,4,2,4,1,2,4,5,3,5,4,3
9,2,4,1,5,5,5,4,4,2,3,3,5,3,5,5,3
10,2,4,2,5,5,5,4,3,2,3,2,4,3,5,3,2
11,2,4,2,5,5,3,4,1,1,5,5,5,5,3,5,1
12,7,1,1,3,1,5,5,5,5,1,2,4,5,1,5,5
13,7,2,1,2,2,5,5,4,5,1,2,2,5,2,5,5
14,7,1,1,5,3,5,5,5,3,3,3,5,5,1,2,3
15,7,1,2,1,2,4,5,5,4,1,1,3,5,2,4,5
16,7,1,1,1,1,5,5,4,5,1,1,4,5,1,2,5
17,4,3,3,5,5,2,3,4,1,4,4,4,2,5,5,1
18,1,3,1,2,5,5,3,5,1,5,5,5,1,5,5,1
19,1,2,2,3,5,4,5,2,1,5,5,4,1,4,4,1
20,9,4,2,4,5,4,2,4,1,4,5,4,3,5,3,1
21,9,5,2,5,5,2,5,4,1,4,5,5,3,5,5,1
22,9,4,2,5,5,3,2,4,1,3,4,4,2,5,2,1
23,9,4,5,5,5,5,3,1,1,4,4,4,1,5,2,1
24,3,1,1,3,3,3,5,5,5,3,1,1,5,1,5,5
25,3,1,1,2,4,2,5,5,5,1,1,1,5,1,5,5
26,3,1,1,1,3,5,5,4,5,3,1,3,5,1,5,5
27,8,2,1,1,2,5,4,4,4,1,2,4,4,2,4,5
28,8,2,4,1,1,4,5,4,4,1,1,1,5,1,2,4
29,6,1,2,3,4,5,5,5,1,2,1,4,5,1,4,2
30,6,1,2,3,1,5,5,5,3,1,1,1,5,3,4,4
31,2,2,3,5,1,3,1,1,1,2,3,5,2,4,5,3
32,5,5,1,5,5,1,1,4,1,5,2,5,5,5,3,3
33,7,1,4,1,2,3,4,4,3,2,2,4,5,2,4,4
34,7,1,2,1,1,5,5,5,3,1,1,4,5,1,5,5
35,7,2,3,1,1,5,5,5,5,1,1,1,5,2,5,5
36,9,4,3,4,5,2,2,3,2,2,3,5,3,5,3,1
37,9,4,4,3,5,3,5,3,4,1,1,5,5,5,5,5
38,9,4,4,4,5,1,4,3,2,2,1,3,2,4,5,4
39,9,3,4,3,4,1,5,5,2,3,3,4,4,4,4,2
40,0,1,2,1,1,4,5,5,5,1,1,5,5,1,5,5
41,8,1,2,3,2,4,4,5,4,1,1,2,5,1,1,4
42,7,1,2,1,4,5,3,5,4,1,1,1,5,1,4,1
43,7,1,4,1,1,3,5,5,4,3,1,4,5,1,5,4
44,9,3,3,3,4,3,3,4,0,3,3,3,3,4,3,1
45,9,4,4,2,5,5,5,4,2,3,1,4,4,5,3,4
46,9,4,5,4,5,4,4,5,4,4,1,5,5,5,4,1
47,8,2,2,2,3,4,2,4,2,2,2,2,4,3,2,4
48,6,3,4,1,4,5,5,5,5,1,3,2,5,1,3,4
49,6,4,4,1,5,5,5,3,5,1,1,5,3,1,2,4
50,7,1,1,1,1,5,4,4,5,1,1,2,4,1,3,5
51,1,4,4,3,4,5,5,2,1,2,5,1,1,1,5,5
52,3,1,2,2,5,5,5,4,5,3,1,4,5,1,5,5
53,8,1,2,1,2,4,5,5,4,2,1,2,4,3,2,2
54,8,1,2,1,2,3,5,5,3,2,1,4,5,4,3,3
55,2,3,3,5,5,3,4,5,3,2,1,5,5,5,5,1
