answerString,constituency,constituency_id,constituency_slug,firstName,id,isPartyLeader,lastName,partyLetter,partyName,photoUrl,party,name,link,constituencies,causes,cv,Beskæftigelse,Alder,Uddannelse,Valgt i
114442511144444,Albertslund,1,albertslund,Steen,3179,False,Christiansen,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/3179-Steen-Christiansen-a.png,C. Det Konservative Folkeparti,Bjarne Rasmussen,/kandidater/kv17/17696-Bjarne-Rasmussen,Køge,,Bjarne har desværre ikke skrevet sit CV,Privat ansat/selvstændig,60 år,Erhvervsuddannelse,
134254233211322,Albertslund,1,albertslund,Paw Østergaard,1345,False,Jensen,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1345-1345-Paw-Jensen-a.jpg,F. SF - Socialistisk Folkeparti,Lars Bæk,/kandidater/kv17/Lars-Baek,Rødovre,"## Arbejdsklausuler ##
Arbejdsklausuler ved udbud af kommunale bygge & anlægsopgaver, som værn mod social dumpning.
Det skal sikres at arbejde bestilt for skatteborgernes penge, skal ske på ordentlige løn- og arbejdsvilkår.## Kollektiv trafik ##
Islev området skal have en direkte bus, med hyppige afgange, med forbindelse til Metroen.
På sigt skal der arbejdes på at få Metro ført til / gennem Rødovre. Evt. med forbindelse til den kommende letbane.## Social klausuler udbud. ##
Der skal indføres et social kapitel, ved alle kommunens udbud af opgaver. Dette skal sikre elev / lærepladser i alle leverandør led.","Elektriker, gennem 11 år valgt fagligsekretær i Dansk El-Forbund, fra januar 2016 valgt formand for Dansk El-Forbund København. Sidder i forretningsudvalget for LO Hovedstaden og Byggefagenes samvirke.
Sidder i Rødovre Erhvervsråd udpeget af LO. Bestyrelsesmedlem SF Rødovre. Formand for Grundejer foreningen Voldly.",Privat ansat/selvstændig,60 år,Erhvervsuddannelse,2013
121353311343252,Albertslund,1,albertslund,Nils,1344,False,Jensen,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1344-Nils-Jensen-a.jpg,F. SF - Socialistisk Folkeparti,Julie Rasmussen,/kandidater/kv17/julie-rasmussen,Rødovre,"## bedre nomeringer i daginstitutionerne ##
Jeg ønsker flere pædagoger i daginstitutionerne for at gøre hverdagene bedre for både børnene og de ansatte.## kortere skoledage i folkeskolen ##
Børnene i folkeskolen skal have kortere skoledage fordi de bliver udkørte og slet ikke mere overskud til f.eks. fritidsaktiviteter når de kommer hjem.## Støtte til de frivillige idrætsforening ##
Jeg øsnker der skal budgetteres flere penge til de frivillige idrætsforeninger herunder bedre velligeholdelse af idrætsinstalationer ","HF 2014-2016
Pædagogmedhjælper 2016-nu
frivillig fodboldtræner",Offentligt ansat,20 år,Gymnasial uddannelse,
141255331242344,Albertslund,1,albertslund,Dogan,1348,False,Polat,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1348-Dogan-Polat-a.jpg,F. SF - Socialistisk Folkeparti,Per Bergmann,/kandidater/kv17/Per-Bergmann,Rødovre,,Per har desværre ikke skrevet sit CV,Ikke oplyst,,,
123124314224454,Albertslund,1,albertslund,Susanne Storm,1342,False,Lind,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1342-Susanne-Storm-Lind-a.jpg,F. SF - Socialistisk Folkeparti,Svend Erik Pedersen,/kandidater/kv17/1176-Svend-Erik-Pedersen,Rødovre,"## Miljø ##
Vi skal styrke indsatsen for at begrænse belastningen af miljøet. Vi skal renovere de kommunale bygninger så vi får mindre energispild## Trafik ##
Vi skal gøre det sikkert for os alle sammen og især vore børn at færdes i trafikken. Bilisterne må sætte farten ned og respektere de svage trafikanter## Sundhed ##
Vi skal fremme borgernes muligheder for at dyrke motion i hverdagen. Vi skal cykle til arbejdet og dyrke motion i de offentlige parker. Dette øger livskvaliteten for borgeren og det giver en god samfundsøkonomi.",EDB Konsulent NNIT,Privat ansat/selvstændig,66 år,Bachelor-/diplomuddannelse,"2009, 2013"
0,Albertslund,1,albertslund,Jane,1340,False,Nannberg,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/,F. SF - Socialistisk Folkeparti,Kenneth Rasmussen,/kandidater/kv17/kenneth-rasmussen,Rødovre,"## Kortere skoledage ##
Jeg er af den overbevisning, at de længere skoledage for mange elever har været et minus. Jeg har tit oplevet elever, der ikke kan mere, når de kommer til kl. 13. Hvordan kan vi tillade, at børn på 5-6 år har for dem en arbejdsuge på 30 timer. Det kan vi ikke være bekendt. Jeg har set en undersøgelse fra Canada, hvor eleverne kun gik i skole 4 dage om ugen. Det gav højere karaktere for hele årgang## Flere pædagoger i daginstitutioner og SFO'er ##
Vi mangler pædagogisk personale i daginstitutionerne. Vi tror vi kan effektivere os til kvalitet. Det kan vi ikke. Jeg har nærstuderet en omfattende undersøgelse fra Holland der klart viste, at hver gang du fjerner en pædagog falder den faglige kvalitet.
Pga skolereformen er SFO'erne blevet hårdt ramt og glemt i hele den snak. Vi bliver nødt til at tilføre SFO'erne flere midler.## Bedre styr på den private ældrepleje ##
Vi har desværre oplevet alt for mange konkurser inden for ældreplejen. Jeg vil knokle for, at vi får sat de mest skrape krav til vores leverandører.","Uddannet pædagog ved Hovedstadens Pædagogseminarium. Har arbejdet med såvel småfolk, skolebørn og unge på specialområdet. Før jeg blev pædagog har jeg arbejdet i et advokatfirma med køb og salg af ejendomme. Derudover har jeg været formand inden for idrætsverdenen både klubmæssigt og forbundsmæssigt under Dansk Idræts forbund. Jeg har altid arbejdet meget frivilligt og blev i 2017 udnævnt til ambassadør for Kræftens Bekæmpelse, hvilket jeg betragter som en stor ære.",Offentligt ansat,46 år,Bachelor-/diplomuddannelse,
351311533345354,Albertslund,1,albertslund,Lasse Wilson,4399,False,Crüger,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/4399-Lasse-Wilson-Cruger-a.jpg,A. Socialdemokratiet,Vibeke Grave,/kandidater/kv17/Vibeke-Grave,Lolland,"## Nye varige arbejdspladser på Lolland. ##
Kodeordet her er arbejdspladser og dem kommer der rigtig mange af i valgperioden. Nyt fængsel på Nordfalster, ny Storstrømsbro og det største anlægsbyggeri, Femern-tunnellen, skal være med til at skabe væksten. Jeg vil kæmpe for en opgradering af Rute 9 mellem Maribo og Nakskov og nyt erhvervsområde ved afkørsel 48. Turisme- og fødevarerområdet skal være med til at skabe varige arbejdspladser.## Et stærkt fællesskab ##
Vi skal fastholde et stærkt fællesskab på Lolland blandt andet gennem vores kultur-og foreningsliv. Alle aktive landsbysamfund skal sikres mulighed for udvikling. Jeg vil arbejde for et mere ligeværdigt samfund, hvor alle kan deltage med deres styrkesider. ## Vores unge skal sikres uddannelse ##
Vi skal sikre vores lokale unge det mest egnede og velkvalificerede tilbud i forhold til deres kompetencer.  Derfor er det vigtigt, at de kan få en ungdomsuddannelser i vores lokalområde. Vores folkeskoler skal kunne udfordre alle børn og unge. Derfor vil jeg gerne være med til at udvikle temaskoler i kommunen.","Uddannet socialrådgiver 1984
Ungdomsskoleinspektør 1995
Medlem Folketinget 2006/07
Afdelingsleder Lollands Erhvervsklasse 2008
Medlem Folketinget 2010/11
Afdelingsleder Lollands Erhvervsklasse 2011-15
Diplomstudie i ledelse 2012-14
Udvalgsformand for Femern Bælt, Erhvervs- og Kulturudvalget 2012-14
Udvalgsformand for Arbejdsmarkedsudvalget 2014-17
Afdelingsleder 2-tal-kurset Lolland Ungdomsskole 2015-17
Leder af Ung Lolland 2017",Offentligt ansat,59 år,Bachelor-/diplomuddannelse,"2009, 2013"
132355433345445,Albertslund,1,albertslund,Lars Alexander,1335,False,Clark,A,Socialdemokratiet,http://www.altinget.dk/images/kv17/1335-lars-a-clark-a.jpg,C. Det Konservative Folkeparti,Henriette Hesselmann,/kandidater/kv17/henriette-baden-hesselmann,Rødovre,,Henriette har desværre ikke skrevet sit CV,Offentligt ansat,,Kandidatuddannelse,
142455552225254,Albertslund,1,albertslund,Dennis,1877,False,Schmock,B,Radikale Venstre,http://www.altinget.dk/images/kv17/1877-Dennis-Schmock-a.jpg,A. Socialdemokratiet,Per Kattrup,/kandidater/kv17/per-elmann-kattrup,Furesø,"## Bevaring af de historiske og kulturelle værdier ##
For bedre at kunne forstå vor nutid, give visdom til fremtiden## Større livskvalitet og social sikkerhed ##
Forbedre den sociale hverdag
Give større frihed til udfordringer og udfoldelse
Flere frie tilbud","Økonomisk uddannet
Jura Københavns Universitet
Reklame & Marketing
Selvstændig kunsthandler og kulturkonsulent  for
Kulturhusene i Danmark
International markedshandel bl..a IBM og Bacardi-Koncernen",Privat ansat/selvstændig,78 år,Erhvervsuddannelse,"2009, 2013"
335542412453543,Albertslund,1,albertslund,Nils Jul,201,False,Gjerlev,C,Det Konservative Folkeparti,http://www.altinget.dk/images/kv17/201-Nils-Jul-Gjerlev-a.jpg,F. SF - Socialistisk Folkeparti,Alexander Bruhn Johansen,/kandidater/kv17/Alexander-Christian-Johansen,Brøndby,"## Demokrati der hænger sammen ##
Politik påvirker mennesker. Derfor skal vi lytte til de der påvirkes af forslag - ingen af os kan vide alt om alle aspekter i et forslag, derfor er det imperativt at vi hører og lytter til dem der ved noget og vil blive påvirket af vores beslutninger.
Folket starter med at 'du' og 'jeg' bliver til 'vi' - for vi har kun hinanden.
Jeg arbejder for borgerinddragelse - samfund baseres på tillid.
## Hjælp der hænger sammen ##
For mange af vores naboer oplever at de får et fultids job som koordinator når de har mest brug for hjælp. Vi skal sikre at alle der får kontakt med kommunen har én person som de skal fortælle om deres historie og behov, som så agerer i systemet for borgeren og finder de muligheder der er for at hjælpe, så du eller din nabo kan fokusere på at komme videre. En koordinerende sagsbehandler.## Sundhed der hænger sammen ##
Vi skal sørge for at det er en mulighed for vores borgere, vores naboer, vores medmennesker, at få den hjælp de har behov for - ikke kun nå benet brækker, men også når tanden flækker eller psyken knækker. Jeg vil arbejde for gratis psykolog- og tandlægehjælp - først til de unge og mest udsatte, men på sigt til alle.","1999 afsluttede en HF fra Høng Gymnasium og HF. 
1999-2001 Jura på KU
2001-2002 Postarbejder
2001- Sygemeldt pga. arbejdsulykke
2004- Far til en skøn dreng
2010- Førtidspensionist 
2013-15 og 2017- Bestyrelsesformand for Brøndbyernes Andelsboligforening
2016- Bestyrelsesformand for Butiksbestyrelsen Kvickly Brøndby
2017- Næstformand Boligselskaberne i Brøndby",Udenfor arbejdsmarkedet,37 år,Gymnasial uddannelse,
